ResearchNumber,SealNumber,State,Species,DeathLocation,DateCollected,SampleType,Sex,AgeClass,Notes
,2111527,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2153119,Maine,Odocoileus virginianus,Levant,NA,Lymph Node,M,NA,
,2161396,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2141255,Maine,Odocoileus virginianus,Mount Vernon,NA,Lymph Node,M,NA,
,2168750,Maine,Odocoileus virginianus,Winslow,NA,Lymph Node,M,NA,
,2169011,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,F,NA,
,2161386,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,F,NA,
,2137383,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2148388,Maine,Odocoileus virginianus,Lily Bay Twp,NA,Lymph Node,M,NA,
,2140630,Maine,Odocoileus virginianus,Exeter,NA,Lymph Node,M,NA,
,2124943,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2136224,Maine,Odocoileus virginianus,Harmony,NA,Lymph Node,F,NA,
,2153327,Maine,Odocoileus virginianus,Dixmont,NA,Lymph Node,M,NA,
,2146678,Maine,Odocoileus virginianus,Rockland,NA,Lymph Node,M,NA,
,2137525,Maine,Odocoileus virginianus,Jefferson,NA,Lymph Node,M,NA,
,2166054,Maine,Odocoileus virginianus,Chelsea,NA,Lymph Node,F,NA,
,2162715,Maine,Odocoileus virginianus,Norridgewock,NA,Lymph Node,M,NA,
,2135603,Maine,Odocoileus virginianus,Washington,NA,Lymph Node,F,NA,
,2161265,Maine,Odocoileus virginianus,Carmel,NA,Lymph Node,M,NA,
,2161934,Maine,Odocoileus virginianus,China,NA,Lymph Node,M,NA,
,2146278,Maine,Odocoileus virginianus,Dresden,NA,Lymph Node,M,NA,
